in-store,age,items,amount,region
1,32,4,659.64,1
1,48,2,750.05,1
1,34,6,394.5,3
0,69,3,397.26,2
0,44,2,2795,3
0,45,7,453.65,2
1,36,8,813.28,1
1,26,3,1352.4,1
0,54,8,199.06,2
0,57,3,288.67,2
0,50,7,491.04,2
1,34,5,248.07,3
1,22,6,1038.8,4
0,30,5,168.86,2
1,70,2,888.08,3
0,39,2,2065.2,4
0,26,8,1552.9,4
1,70,8,535.17,1
0,45,2,238.33,2
0,43,4,111.15,2
1,41,6,384.79,3
1,51,2,1037,1
1,46,5,142.84,1
1,56,4,345.49,1
1,40,7,505.54,1
0,33,7,2693.1,4
1,27,1,1938.1,4
1,26,6,59.045,1
1,36,7,162.1,4
0,60,4,389.27,2
1,26,7,917.57,1
0,69,3,83.657,2
1,49,5,1284.8,4
1,38,6,790.75,1
1,66,4,713.9,3
1,27,7,772.18,4
0,34,2,2627.4,4
0,73,3,273.66,2
0,41,6,147.31,2
1,24,2,1700.7,1
0,25,8,883.52,3
1,54,2,577.67,1
1,70,6,233.45,3
0,61,3,7.8557,2
0,61,7,98.789,2
1,33,7,723.92,3
1,64,5,157.97,3
1,26,2,867.2,1
1,71,5,825.88,1
1,32,7,895.25,4
0,71,1,166.93,2
1,47,2,147.64,3
1,29,5,1779.9,4
1,55,2,1860.2,4
0,63,4,2478.8,4
1,45,2,941.78,4
0,84,6,473.72,2
0,49,3,1438.1,3
1,49,1,1931.5,1
1,36,2,884.4,4
1,35,4,295.24,4
1,26,6,90.492,1
1,46,7,876.99,1
0,72,8,74.288,2
0,49,2,151.92,4
0,83,8,252.05,2
1,27,5,138.97,3
1,73,7,881.48,3
0,51,5,391.63,2
1,42,3,848.48,1
0,79,2,334.75,2
0,59,3,425.4,2
0,70,3,396.39,2
0,58,6,94.179,2
1,37,6,932.36,4
1,54,6,635.85,3
0,18,7,1913,3
1,43,6,1816.6,1
1,28,4,346.6,1
1,23,1,787.04,4
0,47,3,366.59,2
1,58,5,437.24,3
0,64,3,254.33,2
1,40,8,483.71,1
1,69,3,853.6,3
1,56,1,669.13,1
1,65,4,386.28,1
0,30,2,460.76,2
0,37,7,358.55,2
0,19,8,960.17,4
0,56,6,2860.3,3
0,35,6,243.44,4
0,32,3,553.64,4
1,37,4,532.46,3
1,31,6,440.51,3
0,53,3,358.4,2
0,69,3,63.05,2
1,38,3,473.53,3
1,20,8,1642.3,4
1,28,3,759.93,1
0,30,3,89.388,2
1,44,4,415.76,3
0,36,6,1904.4,4
1,33,3,752.83,3
0,56,8,299.8,2
1,44,6,1044.7,4
0,84,4,64.083,2
0,28,6,1154.9,3
1,65,2,556.7,3
0,58,3,393.68,2
1,57,5,577.77,3
0,32,2,2891.6,4
1,40,5,1147.6,4
1,36,3,1961.8,4
1,36,1,69.72,3
0,19,3,754.33,3
1,20,6,818.99,4
0,81,4,84.477,2
0,48,4,1356.3,4
0,61,6,230.4,2
1,48,2,1622.8,1
0,44,4,190.12,2
0,20,3,2737,4
0,57,3,2039.6,3
1,24,4,703.08,1
0,34,8,1485.6,4
0,31,2,542.04,4
0,41,3,1881.8,4
0,38,6,5.4862,2
0,36,4,71.569,2
1,25,2,1703.1,1
0,69,2,304.18,2
1,46,6,1187.8,4
0,29,6,477.39,2
1,68,7,493.28,1
0,47,3,1510.5,4
1,53,4,1793.1,4
0,36,4,2565.9,3
1,69,2,604.29,1
1,50,6,371.61,4
0,53,5,2236.4,3
1,64,7,950.59,3
1,48,4,852.17,1
0,57,5,2556.2,3
0,50,3,100.03,2
0,43,4,230.41,3
1,54,1,1992.4,4
1,70,4,371.37,3
0,18,6,1508.2,4
0,35,2,1864.3,4
1,21,7,1191.2,4
1,68,7,405.51,1
1,28,7,944.58,4
1,42,4,380.73,1
1,49,6,975.6,1
1,26,8,960.58,4
0,48,6,1118.8,4
0,31,5,2303.1,4
1,73,1,358.87,3
0,48,2,2835.8,4
1,54,5,331.86,1
1,20,6,816.94,4
1,28,5,1492.5,4
1,37,4,1787,1
0,71,2,464.36,2
0,62,3,2599.5,4
1,27,6,1396.4,4
0,33,8,372.3,2
0,23,7,227.54,4
0,28,3,145.7,2
1,73,1,587.95,1
0,41,3,107.98,2
1,25,3,1972.2,4
1,45,6,1751.8,4
1,31,2,1955.8,4
1,39,1,479.09,4
0,38,2,308.98,2
0,65,3,33.194,2
1,33,7,166.75,1
0,79,7,319.82,2
1,37,7,1177.6,4
1,45,2,491.12,1
1,62,4,892.21,1
1,44,5,854.33,4
1,52,1,1518.6,4
0,51,2,232.97,3
0,56,5,35.122,2
1,47,5,338.95,3
1,42,5,710.63,1
0,83,6,141.47,2
1,42,6,673.87,3
1,44,5,1723.2,4
0,44,7,2744.4,4
1,27,2,358.36,4
1,44,4,699.5,1
0,48,7,2916.8,4
0,60,4,2721.3,4
1,35,2,923.18,4
0,53,1,231.81,2
0,39,8,411.36,2
1,36,6,259.35,3
1,45,4,944.34,4
1,37,3,1765.4,4
1,32,4,975.31,4
1,54,2,599.89,1
0,41,5,290.4,2
0,31,8,867.73,4
1,70,3,937.87,3
1,65,7,947.68,1
0,44,2,34.684,2
1,41,1,242.73,1
1,56,7,557.46,1
1,21,2,1552.6,1
0,56,1,258.86,2
1,25,7,236.99,1
1,70,2,448.18,1
1,25,2,1699.9,4
1,52,3,439.51,4
1,49,7,983.12,3
0,55,7,364.26,2
1,44,7,85.559,4
0,39,7,379.64,2
1,56,7,275.58,3
1,44,5,193.54,4
0,62,8,2312.6,3
1,73,6,699.78,3
1,43,5,1920.6,1
1,32,7,227.88,4
0,24,3,831.04,4
1,38,6,889.92,4
0,37,7,1903.6,3
0,69,4,368.09,2
0,62,2,188.09,2
0,47,7,196.43,2
1,54,7,435.36,3
0,38,6,262.73,2
1,37,4,279.77,1
0,75,4,200.88,2
1,70,8,653.15,3
1,72,4,751.71,3
1,34,5,87.399,3
1,28,8,1729.7,4
1,57,5,501.67,3
1,44,5,535.09,1
0,23,4,904.14,4
0,35,4,2620.5,4
1,24,4,804.09,1
0,70,5,361.94,2
0,55,2,241.51,2
0,31,3,380.26,2
1,27,7,969.84,1
1,71,6,839.85,1
0,61,4,352.08,2
1,48,6,1797.7,1
0,67,2,220.67,2
0,59,3,2842.1,4
0,28,5,2735.1,4
1,39,7,365.22,3
0,79,3,26.422,2
1,48,7,320.03,4
1,29,3,93.167,3
1,25,2,1823.3,4
0,31,6,2450.8,4
0,19,2,1305.2,4
0,66,7,121.48,2
0,78,3,131.34,2
1,64,1,641.46,1
1,44,3,1863.3,1
1,21,5,1019.3,1
0,79,4,411.37,2
0,75,7,184.97,2
1,49,6,1753.5,4
1,62,6,182.61,1
0,61,5,2108.2,4
0,85,1,110.29,2
0,42,8,227.53,2
1,56,4,727.98,3
0,84,4,339.27,2
1,63,4,826.55,3
1,45,5,197.11,1
0,51,5,1221.3,3
1,46,5,1864.9,4
1,34,1,87.062,1
0,59,7,1206.3,4
0,51,5,472.64,2
1,31,5,1773,4
0,58,2,92.43,2
0,64,6,445.28,2
1,24,6,1026.6,4
1,41,5,743.13,1
0,40,6,1741.3,3
0,72,3,348.88,2
0,59,1,489.21,3
1,27,3,958.93,4
0,61,7,246.87,4
0,63,5,363.12,2
1,40,6,870.3,4
0,56,4,224.44,2
0,36,8,98.938,2
1,39,2,174.35,4
1,45,7,795.34,1
0,56,5,8.5569,2
0,40,8,970.75,3
1,27,7,1288,1
0,38,6,560.17,3
0,21,2,1502.5,4
0,61,2,264.01,3
1,55,1,855.52,4
0,47,2,281.68,2
1,53,6,513.05,3
1,49,5,877.5,1
0,68,8,335.24,2
1,20,6,819.4,4
1,30,3,95.838,4
1,53,8,1443.2,4
0,63,4,152.81,2
1,27,2,303.53,1
1,31,2,576.89,4
0,72,2,72.896,2
0,40,8,143.11,2
0,31,5,2148.5,4
0,61,5,1291,4
0,51,8,84.882,2
0,55,8,120.97,2
1,52,8,72.622,3
1,60,3,177.1,3
1,53,4,867.54,1
1,22,6,570.5,1
1,32,2,511.41,3
0,52,4,1086.5,4
0,30,4,292.65,3
0,56,1,590.41,4
1,53,4,1202.7,1
0,30,8,2607.3,3
1,47,3,660.83,4
1,35,4,775.46,1
1,39,7,939.55,4
1,55,1,1104.1,1
0,30,6,470.17,3
1,27,1,98.333,4
0,36,5,400.1,2
0,55,4,2050.6,4
1,59,2,169.9,1
0,22,4,1934.2,4
0,33,3,2886.3,4
0,55,3,258.07,2
1,28,3,1044.1,4
0,20,8,1268,4
0,76,2,337.09,2
0,19,7,1114.8,4
0,50,7,140.3,2
0,40,1,228.43,4
1,27,7,1711.4,4
0,76,4,162.03,2
0,69,2,215.96,2
1,47,2,247.54,4
1,33,2,563.09,1
0,37,2,218.66,2
0,48,6,433.35,2
1,45,5,231.26,3
0,62,1,1892.9,4
0,50,2,219.36,2
0,18,6,222.17,4
0,52,2,2974.6,3
0,32,7,2125.3,3
1,33,7,279.35,4
1,52,4,70.341,1
0,32,8,25.111,2
0,61,6,2888.9,3
1,33,2,1844.9,4
1,28,1,815.81,4
0,44,5,315.05,2
1,37,6,1203.2,1
1,24,8,952.21,1
0,69,4,491.39,2
1,42,3,828.04,1
1,52,3,1020.2,4
1,25,6,550.59,3
0,41,8,2153.4,4
1,39,7,178.99,1
0,44,4,535.29,3
1,35,6,645.39,1
1,41,6,391.01,4
0,84,6,20.889,2
0,57,3,154.28,2
0,35,4,904.13,4
0,50,5,1320.1,4
1,26,4,412.31,1
1,48,7,205.76,1
1,28,7,1730.8,4
0,38,7,1546.5,4
1,24,2,806.29,4
1,54,7,690.97,1
1,30,6,777.29,1
1,36,7,393.84,1
0,49,7,123.55,2
1,54,5,663.03,1
1,49,8,901.32,3
1,30,7,616.32,4
0,60,5,2599.6,4
1,71,7,183.89,1
1,55,2,814.5,1
1,53,6,1893.7,4
0,32,8,2669.7,4
0,61,4,2794.5,4
0,42,6,150.12,2
0,45,2,939.08,3
1,20,3,1696.9,1
1,48,7,683.07,1
1,38,1,1070.2,1
0,59,4,463.23,2
1,66,3,243.03,3
1,20,6,1290.8,4
0,61,6,158.38,2
0,63,8,254.29,3
0,34,2,248.43,2
0,32,5,425.44,2
0,83,7,307.89,2
1,52,1,728.35,3
0,55,1,1271.2,3
0,37,7,267.17,2
0,71,2,264.26,2
1,30,3,248,4
0,74,6,201.95,2
1,73,4,493.45,1
0,59,6,797.26,3
1,37,2,1970.6,4
1,54,5,939.03,1
1,26,1,892.22,4
1,38,1,298.96,1
0,61,5,272.18,2
0,60,1,192.29,2
1,30,2,520.41,3
0,56,7,860.99,4
0,29,2,144.69,2
0,32,2,331.2,2
1,23,6,1964.1,4
1,20,5,1262,4
0,40,6,374.02,4
1,29,4,61.336,4
0,31,8,2824.8,4
0,39,1,217.3,4
1,46,2,1149.3,4
0,72,3,43.042,2
1,58,4,984.1,3
0,48,7,134.17,2
0,53,3,602.22,4
1,36,3,533.05,1
0,44,3,60.603,2
0,39,2,2338.3,4
1,42,5,515.01,4
1,30,5,282.11,1
1,42,4,1824.3,1
0,74,6,126.09,2
0,53,3,2583.6,3
0,78,4,90.882,2
0,54,6,2972.4,4
0,43,2,304.73,2
1,26,1,826.5,1
0,67,2,91.925,2
1,43,3,950.99,1
0,43,3,1766.6,3
1,37,8,482.83,3
1,39,4,1631.6,4
1,51,4,370.39,4
1,39,3,362.14,3
0,81,2,80.818,2
0,33,1,182.03,2
0,77,2,23.865,2
1,60,5,582.9,3
0,46,3,1041.5,3
0,48,5,13.121,2
1,55,3,986,1
0,35,6,2630.6,3
1,66,3,104.6,1
0,51,2,430.84,2
1,33,8,618.49,1
0,80,3,70.226,2
1,54,8,522.12,1
1,58,5,817.7,1
1,40,8,572.99,1
0,59,2,31.344,2
1,36,6,669.56,1
0,60,5,322.03,2
0,80,4,38.351,2
0,42,3,82.164,2
0,20,6,1572.3,4
0,35,1,935.59,3
0,57,6,772.73,4
0,30,6,2178.3,4
1,39,5,587.43,1
1,73,8,58.61,3
1,23,3,217.04,4
0,76,2,39.906,2
1,29,7,1510.9,4
0,38,2,1166.2,3
1,74,3,226.79,3
0,41,6,1699,4
0,47,5,146.3,2
1,36,7,336.76,4
0,39,2,2873.2,3
1,36,8,1799.2,1
0,34,3,284.75,2
1,29,3,222.51,4
0,54,2,2693.2,4
1,30,3,1590.7,1
1,66,7,252.56,3
1,35,7,617.06,3
1,70,6,442.91,1
0,30,2,2592.5,3
1,60,5,76.266,1
0,47,5,250.3,2
1,66,2,325.05,3
1,22,7,520.93,4
1,42,3,1837.7,4
1,28,5,598.59,1
0,35,6,2447.1,3
1,24,6,1467.1,4
0,43,3,2962,3
1,45,8,186.5,3
1,24,3,349.11,4
0,32,2,363.33,2
0,53,6,305.47,2
1,52,2,765.29,1
1,43,3,370.36,1
0,84,5,116.05,2
0,35,6,1745.3,3
1,44,2,1914,1
0,35,5,329.31,2
1,31,2,740.49,1
0,58,5,2066.5,3
0,59,7,2145.5,4
0,42,7,547.41,4
0,84,8,8.4646,2
1,42,8,91.756,1
1,73,5,236.87,3
1,52,3,637.03,1
1,21,6,1690.9,4
1,36,5,234.71,3
0,34,2,249.22,2
1,51,4,1309.5,4
1,72,8,419.21,3
0,32,4,51.84,2
1,28,2,406.14,4
0,70,2,352.09,2
0,33,3,382.45,2
0,31,4,606.7,3
1,29,4,1376.9,4
1,26,3,1395.8,4
0,41,7,282.59,2
1,53,2,445.28,1
1,52,2,1149.9,4
0,70,2,105.53,2
0,21,1,399.48,3
1,25,2,743.14,4
0,21,2,355.46,4
1,38,3,709.73,1
0,41,3,1879.5,3
1,30,7,90.954,1
1,50,6,1823.3,1
1,53,6,1332.9,4
1,51,3,705.18,1
1,58,7,277.37,3
0,51,3,2854.7,3
1,54,1,1531.7,4
0,36,1,1473.6,4
0,58,3,152.11,3
0,52,1,2726.4,3
1,66,2,185.4,1
1,63,2,557.01,1
1,42,3,1701.2,4
0,55,4,425.85,2
1,42,5,553.31,1
0,84,6,167.92,2
0,73,1,433.31,2
0,72,7,192.3,2
1,34,7,1551,1
1,41,7,682.79,4
0,47,2,2917.9,4
1,69,4,816.22,1
0,81,2,386.89,2
0,18,3,1623.7,4
0,45,5,1941.6,3
0,55,7,615.91,3
1,28,4,715.21,1
0,27,5,1391.9,4
1,32,3,978.56,1
0,62,7,388.79,2
1,42,5,748.28,4
0,25,2,2975.7,4
0,27,1,713.89,3
1,21,3,1541.4,1
0,53,3,1329.8,4
1,38,4,1856.9,1
0,49,5,303.77,2
1,49,8,638.69,1
1,25,6,1029.3,4
1,54,2,297.79,1
0,59,6,115.65,2
1,33,5,985.5,4
1,19,3,1064,4
0,34,5,2053,3
1,27,8,476.92,3
0,53,3,640.54,4
0,30,5,71.449,2
1,28,6,428.67,1
1,63,5,280.49,3
1,21,4,102.47,4
1,29,7,1489.4,1
0,53,2,309.39,2
1,29,3,565.62,1
0,37,1,483.51,2
0,74,4,435.01,2
0,69,2,101.3,2
0,38,8,2743.9,3
1,20,4,669.1,1
1,32,7,764.3,1
1,26,4,994.16,3
0,50,7,1097.7,4
1,63,7,414.43,1
1,25,2,538.76,1
0,26,4,1947.1,4
0,66,5,463.93,2
0,40,6,822.34,4
0,51,7,1468.1,4
1,50,8,125.94,4
1,52,5,182.29,4
0,63,2,253.8,2
0,54,2,133.59,2
1,44,6,1965.2,4
1,37,7,586.41,1
0,55,6,803.83,3
1,53,5,649.62,1
0,44,2,1138.6,4
0,46,2,219.63,2
1,54,4,408.94,3
0,71,5,487.25,2
1,51,4,1248.8,1
0,26,7,172.41,4
1,43,2,962.7,3
1,29,7,862.74,1
0,49,6,244.51,2
1,39,2,566.57,3
1,54,6,337.35,1
1,58,5,913.39,1
1,51,8,146.67,3
0,37,2,472.37,2
1,62,4,744.73,1
1,60,1,815.35,3
1,29,5,583.37,3
0,46,5,237.74,2
0,22,2,2521.8,3
0,27,5,1463.8,4
0,30,6,144.09,4
0,59,4,1981.4,4
1,52,7,819.78,4
1,51,8,150.19,3
0,40,7,164.14,2
1,57,4,687.34,3
1,47,7,422.75,1
0,45,1,138.42,2
0,49,3,305.04,2
0,51,7,15.099,2
1,46,1,751.79,1
1,52,8,75.432,3
1,32,4,68.141,1
1,36,4,1594.8,4
0,72,6,342.87,2
0,41,6,403.33,2
1,40,2,1342.9,1
1,32,7,1811.8,4
0,50,5,260.91,2
0,80,5,182.28,2
0,78,1,325.7,2
0,38,7,210,2
0,34,3,419.37,2
0,22,3,1260.7,4
0,18,4,2297.7,4
1,37,1,359.24,1
1,29,5,865.68,1
1,42,6,1890.1,4
1,62,5,775.76,3
0,68,8,235.33,2
1,35,5,117.53,1
0,38,4,828.58,3
0,54,2,755.41,4
1,37,7,948.66,3
1,25,5,1068,1
0,72,6,292.05,2
1,45,1,250.41,3
1,72,5,205.12,1
1,42,4,1577.9,4
1,53,5,379.92,1
0,30,2,1861.8,4
1,26,6,210.72,4
1,36,8,402.35,4
1,25,6,1587,1
0,47,2,444.62,2
0,68,3,209.95,2
1,36,7,629.73,3
1,51,5,1028,1
1,25,3,708.96,3
1,51,6,1760.4,4
0,73,4,448.65,2
0,63,6,266.77,2
1,42,2,96.519,1
0,60,5,2233.8,4
1,55,6,456.14,1
0,28,4,2609,4
0,59,4,118.07,2
1,30,2,148.03,3
1,23,6,1605.6,4
0,49,6,2514.5,4
1,48,3,1590.2,1
1,46,6,932.77,1
0,37,3,2587.5,4
0,47,4,356.54,2
0,47,2,419.02,2
1,30,6,927.37,4
1,52,1,253.11,1
1,43,5,377.02,4
0,51,7,108.72,2
1,53,5,441.61,1
1,50,6,987.77,4
0,71,6,468.44,2
1,42,3,118.53,1
1,34,8,207.27,3
1,34,4,276.71,3
0,54,2,307.07,2
0,47,4,131.81,2
0,34,5,2295.1,3
1,20,4,1615.6,1
0,49,8,417.08,2
1,63,3,377.08,1
0,62,6,2210.6,4
1,64,4,968.5,1
1,49,5,371.6,3
0,35,8,431.25,3
1,34,5,624.34,3
0,36,7,248.82,4
1,61,3,954.51,3
1,25,3,187.3,3
1,55,5,495.03,4
0,39,7,2717.3,3
0,24,6,1012.6,4
1,35,3,693.3,3
0,31,7,452.66,2
0,54,2,2372.2,4
1,38,6,1028.3,4
0,64,3,231.31,2
0,61,8,149.24,2
0,62,5,2782.1,4
0,33,4,287.97,2
1,56,7,502.94,1
0,79,2,340.83,2
1,52,4,148.76,3
1,40,3,424.97,3
0,44,7,327.15,2
1,41,3,218.09,1
1,73,5,965.57,1
0,22,6,1228.6,3
1,67,7,288.42,3
1,40,3,1248.5,1
0,24,3,926.52,4
1,66,6,132.42,3
0,83,7,400.45,2
1,23,4,1317.4,4
0,36,2,376.46,2
0,61,6,1673.8,3
0,26,7,2147.2,4
0,32,4,337.73,2
1,42,6,178.21,3
0,50,8,474.08,2
0,60,7,488.22,3
0,59,2,478.68,2
0,46,2,1607.6,3
1,51,6,1351.4,4
1,49,4,804.58,3
0,71,5,48.923,2
0,48,3,687.11,4
1,73,8,318.93,3
0,72,7,182.21,2
0,40,6,605.22,4
0,22,6,503.15,4
1,59,3,721.22,1
0,61,4,236.76,2
0,80,1,293.35,2
0,41,5,264.67,4
0,79,6,456.93,2
1,43,5,1747.5,4
0,70,5,7.4103,2
1,45,7,135.94,1
0,44,6,437.43,2
0,22,4,2976.8,4
0,29,2,1103.5,3
1,33,3,965.34,4
1,66,8,116.38,1
1,24,7,375.51,4
0,35,6,398.4,2
1,51,8,1088.6,4
0,40,7,1001.3,3
1,38,7,831.03,3
0,47,3,387.52,2
0,55,3,1635.9,4
0,67,5,311.73,2
1,29,5,382.52,1
1,54,5,488.44,3
1,25,1,1060.3,1
1,43,3,1003.4,4
1,66,1,202.39,3
1,30,2,339.56,4
1,40,7,978.99,3
0,18,7,917.73,4
1,50,5,954.54,4
0,49,6,996.15,4
1,64,2,692.75,1
0,46,2,107.46,2
0,52,3,2124.5,3
0,83,5,244.07,2
0,25,6,1257.3,4
1,35,7,759.92,1
1,51,4,785.81,3
1,28,4,299.78,4
0,40,6,450.35,2
1,50,3,1493.4,4
0,41,2,75.264,2
0,54,6,303.74,4
0,33,3,372.43,2
0,76,5,443.17,2
0,36,8,1259.1,4
0,38,4,20.264,2
0,24,7,521.16,4
1,67,2,367.02,1
0,44,5,486.19,2
0,46,7,2183.3,4
0,34,3,440.21,2
0,61,2,314.29,2
1,27,5,345.48,1
1,53,3,516.98,1
1,37,7,1553.7,4
1,34,5,667.93,4
1,60,5,753.75,1
0,58,5,901.87,4
1,35,6,216.68,4
0,48,7,375.65,2
0,53,3,418.19,4
0,69,7,363.88,2
1,26,7,1919.8,4
0,73,5,158.27,2
1,37,6,508.38,1
1,41,5,1607,1
1,29,8,971.9,3
0,43,8,447.63,2
0,61,8,131.74,2
1,29,2,1434.2,1
0,34,5,110.89,2
1,27,1,906.74,1
0,42,6,204.25,2
1,71,4,814.96,3
1,63,3,674.76,1
0,62,8,324.43,2
1,49,3,745.8,4
0,54,3,238.41,2
0,51,1,1039.4,3
0,32,4,793.2,3
0,56,7,210.11,2
0,52,6,1473.3,4
1,58,7,686.23,3
1,51,2,1157.4,4
0,53,1,318.2,4
0,77,6,307.72,2
1,39,4,713.54,4
0,30,5,1375.7,3
1,45,7,1744.6,1
0,56,6,1726.2,4
1,37,3,838.63,4
0,44,3,283.73,2
1,41,5,879.86,1
0,52,2,1503.5,4
0,30,4,214.64,2
0,64,8,225.43,2
0,36,4,1531.1,4
0,39,6,2137.3,4
1,55,4,204.77,3
0,40,4,492.61,2
1,58,6,387.7,1
1,26,5,851.02,4
1,28,7,240.48,1
0,61,3,357.87,2
0,51,2,278.39,2
0,52,5,435.01,2
1,47,4,1299.7,1
0,49,5,74.114,2
0,77,4,150.3,2
1,71,3,270.72,1
1,35,2,196.02,1
0,52,2,157.44,4
0,53,4,1562.9,3
0,31,1,188.96,4
1,51,3,885.42,1
0,47,4,798.79,4
0,82,7,342.03,2
1,62,8,505.1,1
0,74,3,274.72,2
0,53,7,169.83,2
1,52,2,1624.6,4
1,69,4,823.1,3
1,47,8,299.86,1
0,63,7,742.48,3
0,71,4,120.39,2
0,48,4,739.73,4
1,55,4,683.19,1
0,51,4,748.63,3
0,57,7,1403.8,3
1,62,5,469.32,3
0,22,2,2966.5,4
1,42,8,320.13,3
0,43,7,412.22,2
1,71,3,898.88,1
1,51,6,417.42,1
1,28,2,494.85,1
0,48,3,2347,4
1,73,2,829.93,1
0,18,3,2585.7,4
0,48,6,231.03,3
0,60,6,192.36,2
0,31,6,471.18,2
1,52,4,517.37,3
1,43,4,557.35,1
1,25,2,254.26,4
1,33,5,279.87,3
1,53,5,790.27,3
0,79,2,11.235,2
1,21,5,1555,4
0,55,1,2865.6,3
1,31,2,1117,1
0,58,7,1035.6,4
0,29,4,2268.3,4
1,30,5,547.4,3
0,66,3,12.421,2
1,71,2,794.4,3
0,34,3,2492.1,4
1,27,4,728.57,4
0,79,4,75.033,2
1,55,4,136.51,3
1,52,7,1528.3,4
0,50,5,63.442,2
0,37,2,987.53,4
0,76,2,96.34,2
1,24,5,872.12,4
1,41,8,592.69,3
1,60,8,977.25,1
0,57,4,2655,3
0,62,7,2450.4,4
0,83,8,164.41,2
0,28,4,2913.9,4
1,36,7,1513.8,1
1,55,1,296.93,1
1,71,4,211.81,3
1,52,4,530.14,1
0,33,3,429.77,3
0,31,1,1407.3,4
1,50,7,1656.4,1
1,66,5,190.14,1
0,50,7,133.54,2
0,60,3,1207.8,4
0,37,5,2612,4
0,28,7,1449.8,4
0,62,7,2702.3,4
0,40,4,2026.7,3
1,33,6,1186.6,4
0,62,2,2701.6,3
0,28,2,486.66,2
1,64,3,590.07,1
1,26,1,1037.6,4
0,35,6,22.323,2
1,53,2,382.28,3
0,27,8,350.69,4
1,65,4,794.62,1
1,38,4,474.72,4
0,45,1,2108.1,4
1,30,7,986.92,1
1,38,1,527.62,3
1,34,2,977.49,1
1,34,3,480.53,1
1,46,8,998.4,3
1,40,2,1502.5,4
0,65,6,49.068,2
1,51,2,324.83,1
0,27,3,1756.7,3
1,42,1,942.43,1
1,24,3,560.56,4
0,48,2,1214.3,4
1,43,3,1194.3,1
1,54,4,915.85,1
1,40,6,528.93,1
0,72,5,66.538,2
1,35,4,1048.2,4
0,53,5,1415.5,4
1,29,2,418.02,1
0,68,5,462.68,2
1,33,8,1538.8,4
1,43,2,1383.6,4
1,39,5,295.76,1
0,23,4,954.24,4
0,30,4,121.21,2
1,27,6,1839.2,1
1,51,2,696.15,3
1,19,8,991.72,1
1,58,3,498.34,1
0,19,4,1517.3,4
1,40,7,95.45,1
0,26,6,2689.8,3
0,38,4,177.22,2
0,42,3,851.58,4
1,46,7,175.35,3
0,51,2,2149.7,4
0,50,1,58.817,2
1,54,2,222.34,3
1,41,7,489.76,3
0,47,6,859.79,4
1,20,2,1819.6,4
0,33,2,71.975,2
1,59,3,207.58,1
1,44,7,1324.8,4
0,52,4,72.741,2
