,in-store,age,items,amount,region
121,0,44,2,2795.0,3
122,0,45,7,453.65,2
123,1,36,8,813.28,1
124,1,26,3,1352.4,1
125,0,54,8,199.06,2
126,0,57,3,288.67,2
127,0,50,7,491.04,2
128,1,34,5,248.07,3
129,1,22,6,1038.8,4
130,0,30,5,168.86,2
131,1,70,2,888.08,3
132,0,39,2,2065.2,4
133,0,26,8,1552.9,4
134,1,70,8,535.17,1
135,0,45,2,238.33,2
136,0,43,4,111.15,2
137,1,41,6,384.79,3
138,1,51,2,1037.0,1
139,1,46,5,142.84,1
140,1,56,4,345.49,1
141,1,40,7,505.54,1
142,0,33,7,2693.1,4
143,1,27,1,1938.1,4
144,1,26,6,59.045,1
145,1,36,7,162.1,4
146,0,60,4,389.27,2
147,1,26,7,917.57,1
148,0,69,3,83.65700000000001,2
149,1,49,5,1284.8,4
150,1,38,6,790.75,1
151,1,66,4,713.9,3
152,1,27,7,772.18,4
153,0,34,2,2627.4,4
154,0,73,3,273.66,2
155,0,41,6,147.31,2
156,1,24,2,1700.7,1
157,0,25,8,883.52,3
158,1,54,2,577.67,1
159,1,70,6,233.45,3
160,0,61,3,7.8557,2
161,0,61,7,98.789,2
162,1,33,7,723.92,3
163,1,64,5,157.97,3
164,1,26,2,867.2,1
165,1,71,5,825.88,1
166,1,32,7,895.25,4
167,0,71,1,166.93,2
168,1,47,2,147.64,3
169,1,29,5,1779.9,4
170,1,55,2,1860.2,4
171,0,63,4,2478.8,4
172,1,45,2,941.78,4
173,0,84,6,473.72,2
174,0,49,3,1438.1,3
175,1,49,1,1931.5,1
176,1,36,2,884.4,4
177,1,35,4,295.24,4
178,1,26,6,90.492,1
179,1,46,7,876.99,1
180,0,72,8,74.288,2
181,0,49,2,151.92,4
182,0,83,8,252.05,2
183,1,27,5,138.97,3
184,1,73,7,881.48,3
185,0,51,5,391.63,2
186,1,42,3,848.48,1
187,0,79,2,334.75,2
188,0,59,3,425.4,2
189,0,70,3,396.39,2
190,0,58,6,94.179,2
191,1,37,6,932.36,4
192,1,54,6,635.85,3
193,0,18,7,1913.0,3
194,1,43,6,1816.6,1
195,1,28,4,346.6,1
196,1,23,1,787.04,4
197,0,47,3,366.59,2
198,1,58,5,437.24,3
199,0,64,3,254.33,2
200,1,40,8,483.71,1
201,1,69,3,853.6,3
202,1,56,1,669.13,1
203,1,65,4,386.28,1
204,0,30,2,460.76,2
205,0,37,7,358.55,2
206,0,19,8,960.17,4
207,0,56,6,2860.3,3
208,0,35,6,243.44,4
209,0,32,3,553.64,4
210,1,37,4,532.46,3
211,1,31,6,440.51,3
212,0,53,3,358.4,2
213,0,69,3,63.05,2
214,1,38,3,473.53,3
215,1,20,8,1642.3,4
216,1,28,3,759.93,1
217,0,30,3,89.38799999999999,2
218,1,44,4,415.76,3
219,0,36,6,1904.4,4
220,1,33,3,752.83,3
221,0,56,8,299.8,2
222,1,44,6,1044.7,4
223,0,84,4,64.083,2
224,0,28,6,1154.9,3
225,1,65,2,556.7,3
226,0,58,3,393.68,2
227,1,57,5,577.77,3
228,0,32,2,2891.6,4
229,1,40,5,1147.6,4
230,1,36,3,1961.8,4
231,1,36,1,69.72,3
232,0,19,3,754.33,3
233,1,20,6,818.99,4
234,0,81,4,84.477,2
235,0,48,4,1356.3,4
236,0,61,6,230.4,2
237,1,48,2,1622.8,1
238,0,44,4,190.12,2
239,0,20,3,2737.0,4
240,0,57,3,2039.6,3
241,1,24,4,703.08,1
242,0,34,8,1485.6,4
243,0,31,2,542.04,4
244,0,41,3,1881.8,4
245,0,38,6,5.4862,2
246,0,36,4,71.569,2
247,1,25,2,1703.1,1
248,0,69,2,304.18,2
249,1,46,6,1187.8,4
250,0,29,6,477.39,2
251,1,68,7,493.28,1
252,0,47,3,1510.5,4
253,1,53,4,1793.1,4
254,0,36,4,2565.9,3
255,1,69,2,604.29,1
256,1,50,6,371.61,4
257,0,53,5,2236.4,3
258,1,64,7,950.59,3
259,1,48,4,852.17,1
260,0,57,5,2556.2,3
261,0,50,3,100.03,2
262,0,43,4,230.41,3
263,1,54,1,1992.4,4
264,1,70,4,371.37,3
265,0,18,6,1508.2,4
266,0,35,2,1864.3,4
267,1,21,7,1191.2,4
268,1,68,7,405.51,1
269,1,28,7,944.58,4
270,1,42,4,380.73,1
271,1,49,6,975.6,1
272,1,26,8,960.58,4
273,0,48,6,1118.8,4
274,0,31,5,2303.1,4
275,1,73,1,358.87,3
276,0,48,2,2835.8,4
277,1,54,5,331.86,1
278,1,20,6,816.94,4
279,1,28,5,1492.5,4
280,1,37,4,1787.0,1
281,0,71,2,464.36,2
282,0,62,3,2599.5,4
283,1,27,6,1396.4,4
284,0,33,8,372.3,2
285,0,23,7,227.54,4
286,0,28,3,145.7,2
287,1,73,1,587.95,1
288,0,41,3,107.98,2
289,1,25,3,1972.2,4
290,1,45,6,1751.8,4
291,1,31,2,1955.8,4
292,1,39,1,479.09,4
293,0,38,2,308.98,2
294,0,65,3,33.194,2
295,1,33,7,166.75,1
296,0,79,7,319.82,2
297,1,37,7,1177.6,4
298,1,45,2,491.12,1
299,1,62,4,892.21,1
300,1,44,5,854.33,4
301,1,52,1,1518.6,4
302,0,51,2,232.97,3
303,0,56,5,35.122,2
304,1,47,5,338.95,3
305,1,42,5,710.63,1
306,0,83,6,141.47,2
307,1,42,6,673.87,3
308,1,44,5,1723.2,4
309,0,44,7,2744.4,4
310,1,27,2,358.36,4
311,1,44,4,699.5,1
312,0,48,7,2916.8,4
313,0,60,4,2721.3,4
314,1,35,2,923.18,4
315,0,53,1,231.81,2
316,0,39,8,411.36,2
317,1,36,6,259.35,3
318,1,45,4,944.34,4
319,1,37,3,1765.4,4
320,1,32,4,975.31,4
321,1,54,2,599.89,1
322,0,41,5,290.4,2
323,0,31,8,867.73,4
324,1,70,3,937.87,3
325,1,65,7,947.68,1
326,0,44,2,34.684,2
327,1,41,1,242.73,1
328,1,56,7,557.46,1
329,1,21,2,1552.6,1
330,0,56,1,258.86,2
331,1,25,7,236.99,1
332,1,70,2,448.18,1
333,1,25,2,1699.9,4
334,1,52,3,439.51,4
335,1,49,7,983.12,3
336,0,55,7,364.26,2
337,1,44,7,85.559,4
338,0,39,7,379.64,2
339,1,56,7,275.58,3
340,1,44,5,193.54,4
341,0,62,8,2312.6,3
342,1,73,6,699.78,3
343,1,43,5,1920.6,1
344,1,32,7,227.88,4
345,0,24,3,831.04,4
346,1,38,6,889.92,4
347,0,37,7,1903.6,3
348,0,69,4,368.09,2
349,0,62,2,188.09,2
350,0,47,7,196.43,2
351,1,54,7,435.36,3
352,0,38,6,262.73,2
353,1,37,4,279.77,1
354,0,75,4,200.88,2
355,1,70,8,653.15,3
356,1,72,4,751.71,3
357,1,34,5,87.399,3
358,1,28,8,1729.7,4
359,1,57,5,501.67,3
360,1,44,5,535.09,1
361,0,23,4,904.14,4
362,0,35,4,2620.5,4
363,1,24,4,804.09,1
364,0,70,5,361.94,2
365,0,55,2,241.51,2
366,0,31,3,380.26,2
367,1,27,7,969.84,1
368,1,71,6,839.85,1
369,0,61,4,352.08,2
370,1,48,6,1797.7,1
371,0,67,2,220.67,2
372,0,59,3,2842.1,4
373,0,28,5,2735.1,4
374,1,39,7,365.22,3
375,0,79,3,26.421999999999997,2
376,1,48,7,320.03,4
377,1,29,3,93.167,3
378,1,25,2,1823.3,4
379,0,31,6,2450.8,4
380,0,19,2,1305.2,4
381,0,66,7,121.48,2
382,0,78,3,131.34,2
383,1,64,1,641.46,1
384,1,44,3,1863.3,1
385,1,21,5,1019.3,1
386,0,79,4,411.37,2
387,0,75,7,184.97,2
388,1,49,6,1753.5,4
389,1,62,6,182.61,1
390,0,61,5,2108.2,4
391,0,85,1,110.29,2
392,0,42,8,227.53,2
393,1,56,4,727.98,3
394,0,84,4,339.27,2
395,1,63,4,826.55,3
396,1,45,5,197.11,1
397,0,51,5,1221.3,3
398,1,46,5,1864.9,4
399,1,34,1,87.06200000000001,1
400,0,59,7,1206.3,4
401,0,51,5,472.64,2
402,1,31,5,1773.0,4
403,0,58,2,92.43,2
404,0,64,6,445.28,2
405,1,24,6,1026.6,4
406,1,41,5,743.13,1
407,0,40,6,1741.3,3
408,0,72,3,348.88,2
409,0,59,1,489.21,3
410,1,27,3,958.93,4
411,0,61,7,246.87,4
412,0,63,5,363.12,2
413,1,40,6,870.3,4
414,0,56,4,224.44,2
415,0,36,8,98.93799999999999,2
416,1,39,2,174.35,4
417,1,45,7,795.34,1
418,0,56,5,8.5569,2
419,0,40,8,970.75,3
420,1,27,7,1288.0,1
421,0,38,6,560.17,3
422,0,21,2,1502.5,4
423,0,61,2,264.01,3
424,1,55,1,855.52,4
425,0,47,2,281.68,2
426,1,53,6,513.05,3
427,1,49,5,877.5,1
428,0,68,8,335.24,2
429,1,20,6,819.4,4
430,1,30,3,95.838,4
431,1,53,8,1443.2,4
432,0,63,4,152.81,2
433,1,27,2,303.53,1
434,1,31,2,576.89,4
435,0,72,2,72.896,2
436,0,40,8,143.11,2
437,0,31,5,2148.5,4
438,0,61,5,1291.0,4
439,0,51,8,84.882,2
440,0,55,8,120.97,2
441,1,52,8,72.622,3
442,1,60,3,177.1,3
443,1,53,4,867.54,1
444,1,22,6,570.5,1
445,1,32,2,511.41,3
446,0,52,4,1086.5,4
447,0,30,4,292.65,3
448,0,56,1,590.41,4
449,1,53,4,1202.7,1
450,0,30,8,2607.3,3
451,1,47,3,660.83,4
452,1,35,4,775.46,1
453,1,39,7,939.55,4
454,1,55,1,1104.1,1
455,0,30,6,470.17,3
456,1,27,1,98.333,4
457,0,36,5,400.1,2
458,0,55,4,2050.6,4
459,1,59,2,169.9,1
460,0,22,4,1934.2,4
461,0,33,3,2886.3,4
462,0,55,3,258.07,2
463,1,28,3,1044.1,4
464,0,20,8,1268.0,4
465,0,76,2,337.09,2
466,0,19,7,1114.8,4
467,0,50,7,140.3,2
468,0,40,1,228.43,4
469,1,27,7,1711.4,4
470,0,76,4,162.03,2
471,0,69,2,215.96,2
472,1,47,2,247.54,4
473,1,33,2,563.09,1
474,0,37,2,218.66,2
475,0,48,6,433.35,2
476,1,45,5,231.26,3
477,0,62,1,1892.9,4
478,0,50,2,219.36,2
479,0,18,6,222.17,4
480,0,52,2,2974.6,3
481,0,32,7,2125.3,3
482,1,33,7,279.35,4
483,1,52,4,70.34100000000001,1
484,0,32,8,25.111,2
485,0,61,6,2888.9,3
486,1,33,2,1844.9,4
487,1,28,1,815.81,4
488,0,44,5,315.05,2
489,1,37,6,1203.2,1
490,1,24,8,952.21,1
491,0,69,4,491.39,2
492,1,42,3,828.04,1
493,1,52,3,1020.2,4
494,1,25,6,550.59,3
495,0,41,8,2153.4,4
496,1,39,7,178.99,1
497,0,44,4,535.29,3
498,1,35,6,645.39,1
499,1,41,6,391.01,4
500,0,84,6,20.889,2
501,0,57,3,154.28,2
502,0,35,4,904.13,4
503,0,50,5,1320.1,4
504,1,26,4,412.31,1
505,1,48,7,205.76,1
506,1,28,7,1730.8,4
507,0,38,7,1546.5,4
508,1,24,2,806.29,4
509,1,54,7,690.97,1
510,1,30,6,777.29,1
511,1,36,7,393.84,1
512,0,49,7,123.55,2
513,1,54,5,663.03,1
514,1,49,8,901.32,3
515,1,30,7,616.32,4
516,0,60,5,2599.6,4
517,1,71,7,183.89,1
518,1,55,2,814.5,1
519,1,53,6,1893.7,4
520,0,32,8,2669.7,4
521,0,61,4,2794.5,4
522,0,42,6,150.12,2
523,0,45,2,939.08,3
524,1,20,3,1696.9,1
525,1,48,7,683.07,1
526,1,38,1,1070.2,1
527,0,59,4,463.23,2
528,1,66,3,243.03,3
529,1,20,6,1290.8,4
530,0,61,6,158.38,2
531,0,63,8,254.29,3
532,0,34,2,248.43,2
533,0,32,5,425.44,2
534,0,83,7,307.89,2
535,1,52,1,728.35,3
536,0,55,1,1271.2,3
537,0,37,7,267.17,2
538,0,71,2,264.26,2
539,1,30,3,248.0,4
540,0,74,6,201.95,2
541,1,73,4,493.45,1
542,0,59,6,797.26,3
543,1,37,2,1970.6,4
544,1,54,5,939.03,1
545,1,26,1,892.22,4
546,1,38,1,298.96,1
547,0,61,5,272.18,2
548,0,60,1,192.29,2
549,1,30,2,520.41,3
550,0,56,7,860.99,4
551,0,29,2,144.69,2
552,0,32,2,331.2,2
553,1,23,6,1964.1,4
554,1,20,5,1262.0,4
555,0,40,6,374.02,4
556,1,29,4,61.336000000000006,4
557,0,31,8,2824.8,4
558,0,39,1,217.3,4
559,1,46,2,1149.3,4
560,0,72,3,43.042,2
561,1,58,4,984.1,3
562,0,48,7,134.17,2
563,0,53,3,602.22,4
564,1,36,3,533.05,1
565,0,44,3,60.603,2
566,0,39,2,2338.3,4
567,1,42,5,515.01,4
568,1,30,5,282.11,1
569,1,42,4,1824.3,1
570,0,74,6,126.09,2
571,0,53,3,2583.6,3
572,0,78,4,90.882,2
573,0,54,6,2972.4,4
574,0,43,2,304.73,2
575,1,26,1,826.5,1
576,0,67,2,91.925,2
577,1,43,3,950.99,1
578,0,43,3,1766.6,3
579,1,37,8,482.83,3
580,1,39,4,1631.6,4
581,1,51,4,370.39,4
582,1,39,3,362.14,3
583,0,81,2,80.818,2
584,0,33,1,182.03,2
585,0,77,2,23.865,2
586,1,60,5,582.9,3
587,0,46,3,1041.5,3
588,0,48,5,13.120999999999999,2
589,1,55,3,986.0,1
590,0,35,6,2630.6,3
591,1,66,3,104.6,1
592,0,51,2,430.84,2
593,1,33,8,618.49,1
594,0,80,3,70.226,2
595,1,54,8,522.12,1
596,1,58,5,817.7,1
597,1,40,8,572.99,1
598,0,59,2,31.344,2
599,1,36,6,669.56,1
600,0,60,5,322.03,2
601,0,80,4,38.351,2
602,0,42,3,82.164,2
603,0,20,6,1572.3,4
604,0,35,1,935.59,3
605,0,57,6,772.73,4
606,0,30,6,2178.3,4
607,1,39,5,587.43,1
608,1,73,8,58.61,3
609,1,23,3,217.04,4
610,0,76,2,39.906,2
611,1,29,7,1510.9,4
612,0,38,2,1166.2,3
613,1,74,3,226.79,3
614,0,41,6,1699.0,4
615,0,47,5,146.3,2
616,1,36,7,336.76,4
617,0,39,2,2873.2,3
618,1,36,8,1799.2,1
619,0,34,3,284.75,2
620,1,29,3,222.51,4
621,0,54,2,2693.2,4
622,1,30,3,1590.7,1
623,1,66,7,252.56,3
624,1,35,7,617.06,3
625,1,70,6,442.91,1
626,0,30,2,2592.5,3
627,1,60,5,76.266,1
628,0,47,5,250.3,2
629,1,66,2,325.05,3
630,1,22,7,520.93,4
631,1,42,3,1837.7,4
632,1,28,5,598.59,1
633,0,35,6,2447.1,3
634,1,24,6,1467.1,4
635,0,43,3,2962.0,3
636,1,45,8,186.5,3
637,1,24,3,349.11,4
638,0,32,2,363.33,2
639,0,53,6,305.47,2
640,1,52,2,765.29,1
641,1,43,3,370.36,1
642,0,84,5,116.05,2
643,0,35,6,1745.3,3
644,1,44,2,1914.0,1
645,0,35,5,329.31,2
646,1,31,2,740.49,1
647,0,58,5,2066.5,3
648,0,59,7,2145.5,4
649,0,42,7,547.41,4
650,0,84,8,8.4646,2
651,1,42,8,91.756,1
652,1,73,5,236.87,3
653,1,52,3,637.03,1
654,1,21,6,1690.9,4
655,1,36,5,234.71,3
656,0,34,2,249.22,2
657,1,51,4,1309.5,4
658,1,72,8,419.21,3
659,0,32,4,51.84,2
660,1,28,2,406.14,4
661,0,70,2,352.09,2
662,0,33,3,382.45,2
663,0,31,4,606.7,3
664,1,29,4,1376.9,4
665,1,26,3,1395.8,4
666,0,41,7,282.59,2
667,1,53,2,445.28,1
668,1,52,2,1149.9,4
669,0,70,2,105.53,2
670,0,21,1,399.48,3
671,1,25,2,743.14,4
672,0,21,2,355.46,4
673,1,38,3,709.73,1
674,0,41,3,1879.5,3
675,1,30,7,90.954,1
676,1,50,6,1823.3,1
677,1,53,6,1332.9,4
678,1,51,3,705.18,1
679,1,58,7,277.37,3
680,0,51,3,2854.7,3
681,1,54,1,1531.7,4
682,0,36,1,1473.6,4
683,0,58,3,152.11,3
684,0,52,1,2726.4,3
685,1,66,2,185.4,1
686,1,63,2,557.01,1
687,1,42,3,1701.2,4
688,0,55,4,425.85,2
689,1,42,5,553.31,1
690,0,84,6,167.92,2
691,0,73,1,433.31,2
692,0,72,7,192.3,2
693,1,34,7,1551.0,1
694,1,41,7,682.79,4
695,0,47,2,2917.9,4
696,1,69,4,816.22,1
697,0,81,2,386.89,2
698,0,18,3,1623.7,4
699,0,45,5,1941.6,3
700,0,55,7,615.91,3
701,1,28,4,715.21,1
702,0,27,5,1391.9,4
703,1,32,3,978.56,1
704,0,62,7,388.79,2
705,1,42,5,748.28,4
706,0,25,2,2975.7,4
707,0,27,1,713.89,3
708,1,21,3,1541.4,1
709,0,53,3,1329.8,4
710,1,38,4,1856.9,1
711,0,49,5,303.77,2
712,1,49,8,638.69,1
713,1,25,6,1029.3,4
714,1,54,2,297.79,1
715,0,59,6,115.65,2
716,1,33,5,985.5,4
717,1,19,3,1064.0,4
718,0,34,5,2053.0,3
719,1,27,8,476.92,3
720,0,53,3,640.54,4
721,0,30,5,71.449,2
722,1,28,6,428.67,1
723,1,63,5,280.49,3
724,1,21,4,102.47,4
725,1,29,7,1489.4,1
726,0,53,2,309.39,2
727,1,29,3,565.62,1
728,0,37,1,483.51,2
729,0,74,4,435.01,2
730,0,69,2,101.3,2
731,0,38,8,2743.9,3
732,1,20,4,669.1,1
733,1,32,7,764.3,1
734,1,26,4,994.16,3
735,0,50,7,1097.7,4
736,1,63,7,414.43,1
737,1,25,2,538.76,1
738,0,26,4,1947.1,4
739,0,66,5,463.93,2
740,0,40,6,822.34,4
741,0,51,7,1468.1,4
742,1,50,8,125.94,4
743,1,52,5,182.29,4
744,0,63,2,253.8,2
745,0,54,2,133.59,2
746,1,44,6,1965.2,4
747,1,37,7,586.41,1
748,0,55,6,803.83,3
749,1,53,5,649.62,1
750,0,44,2,1138.6,4
751,0,46,2,219.63,2
752,1,54,4,408.94,3
753,0,71,5,487.25,2
754,1,51,4,1248.8,1
755,0,26,7,172.41,4
756,1,43,2,962.7,3
757,1,29,7,862.74,1
758,0,49,6,244.51,2
759,1,39,2,566.57,3
760,1,54,6,337.35,1
761,1,58,5,913.39,1
762,1,51,8,146.67,3
763,0,37,2,472.37,2
764,1,62,4,744.73,1
765,1,60,1,815.35,3
766,1,29,5,583.37,3
767,0,46,5,237.74,2
768,0,22,2,2521.8,3
769,0,27,5,1463.8,4
770,0,30,6,144.09,4
771,0,59,4,1981.4,4
772,1,52,7,819.78,4
773,1,51,8,150.19,3
774,0,40,7,164.14,2
775,1,57,4,687.34,3
776,1,47,7,422.75,1
777,0,45,1,138.42,2
778,0,49,3,305.04,2
779,0,51,7,15.099,2
780,1,46,1,751.79,1
781,1,52,8,75.432,3
782,1,32,4,68.141,1
783,1,36,4,1594.8,4
784,0,72,6,342.87,2
785,0,41,6,403.33,2
786,1,40,2,1342.9,1
787,1,32,7,1811.8,4
788,0,50,5,260.91,2
789,0,80,5,182.28,2
790,0,78,1,325.7,2
791,0,38,7,210.0,2
792,0,34,3,419.37,2
793,0,22,3,1260.7,4
794,0,18,4,2297.7,4
795,1,37,1,359.24,1
796,1,29,5,865.68,1
797,1,42,6,1890.1,4
798,1,62,5,775.76,3
799,0,68,8,235.33,2
800,1,35,5,117.53,1
801,0,38,4,828.58,3
802,0,54,2,755.41,4
803,1,37,7,948.66,3
804,1,25,5,1068.0,1
805,0,72,6,292.05,2
806,1,45,1,250.41,3
807,1,72,5,205.12,1
808,1,42,4,1577.9,4
809,1,53,5,379.92,1
810,0,30,2,1861.8,4
811,1,26,6,210.72,4
812,1,36,8,402.35,4
813,1,25,6,1587.0,1
814,0,47,2,444.62,2
815,0,68,3,209.95,2
816,1,36,7,629.73,3
817,1,51,5,1028.0,1
818,1,25,3,708.96,3
819,1,51,6,1760.4,4
820,0,73,4,448.65,2
821,0,63,6,266.77,2
822,1,42,2,96.51899999999999,1
823,0,60,5,2233.8,4
824,1,55,6,456.14,1
825,0,28,4,2609.0,4
826,0,59,4,118.07,2
827,1,30,2,148.03,3
828,1,23,6,1605.6,4
829,0,49,6,2514.5,4
830,1,48,3,1590.2,1
831,1,46,6,932.77,1
832,0,37,3,2587.5,4
833,0,47,4,356.54,2
834,0,47,2,419.02,2
835,1,30,6,927.37,4
836,1,52,1,253.11,1
837,1,43,5,377.02,4
838,0,51,7,108.72,2
839,1,53,5,441.61,1
840,1,50,6,987.77,4
841,0,71,6,468.44,2
842,1,42,3,118.53,1
843,1,34,8,207.27,3
844,1,34,4,276.71,3
845,0,54,2,307.07,2
846,0,47,4,131.81,2
847,0,34,5,2295.1,3
848,1,20,4,1615.6,1
849,0,49,8,417.08,2
850,1,63,3,377.08,1
851,0,62,6,2210.6,4
852,1,64,4,968.5,1
853,1,49,5,371.6,3
854,0,35,8,431.25,3
855,1,34,5,624.34,3
856,0,36,7,248.82,4
857,1,61,3,954.51,3
858,1,25,3,187.3,3
859,1,55,5,495.03,4
860,0,39,7,2717.3,3
861,0,24,6,1012.6,4
862,1,35,3,693.3,3
863,0,31,7,452.66,2
864,0,54,2,2372.2,4
865,1,38,6,1028.3,4
866,0,64,3,231.31,2
867,0,61,8,149.24,2
868,0,62,5,2782.1,4
869,0,33,4,287.97,2
870,1,56,7,502.94,1
871,0,79,2,340.83,2
872,1,52,4,148.76,3
873,1,40,3,424.97,3
874,0,44,7,327.15,2
875,1,41,3,218.09,1
876,1,73,5,965.57,1
877,0,22,6,1228.6,3
878,1,67,7,288.42,3
879,1,40,3,1248.5,1
880,0,24,3,926.52,4
881,1,66,6,132.42,3
882,0,83,7,400.45,2
883,1,23,4,1317.4,4
884,0,36,2,376.46,2
885,0,61,6,1673.8,3
886,0,26,7,2147.2,4
887,0,32,4,337.73,2
888,1,42,6,178.21,3
889,0,50,8,474.08,2
890,0,60,7,488.22,3
891,0,59,2,478.68,2
892,0,46,2,1607.6,3
893,1,51,6,1351.4,4
894,1,49,4,804.58,3
895,0,71,5,48.923,2
896,0,48,3,687.11,4
897,1,73,8,318.93,3
898,0,72,7,182.21,2
899,0,40,6,605.22,4
900,0,22,6,503.15,4
901,1,59,3,721.22,1
902,0,61,4,236.76,2
903,0,80,1,293.35,2
904,0,41,5,264.67,4
905,0,79,6,456.93,2
906,1,43,5,1747.5,4
907,0,70,5,7.4103,2
908,1,45,7,135.94,1
909,0,44,6,437.43,2
910,0,22,4,2976.8,4
911,0,29,2,1103.5,3
912,1,33,3,965.34,4
913,1,66,8,116.38,1
914,1,24,7,375.51,4
915,0,35,6,398.4,2
916,1,51,8,1088.6,4
917,0,40,7,1001.3,3
918,1,38,7,831.03,3
919,0,47,3,387.52,2
920,0,55,3,1635.9,4
921,0,67,5,311.73,2
922,1,29,5,382.52,1
923,1,54,5,488.44,3
924,1,25,1,1060.3,1
925,1,43,3,1003.4,4
926,1,66,1,202.39,3
927,1,30,2,339.56,4
928,1,40,7,978.99,3
929,0,18,7,917.73,4
930,1,50,5,954.54,4
931,0,49,6,996.15,4
932,1,64,2,692.75,1
933,0,46,2,107.46,2
934,0,52,3,2124.5,3
935,0,83,5,244.07,2
936,0,25,6,1257.3,4
937,1,35,7,759.92,1
938,1,51,4,785.81,3
939,1,28,4,299.78,4
940,0,40,6,450.35,2
941,1,50,3,1493.4,4
942,0,41,2,75.264,2
943,0,54,6,303.74,4
944,0,33,3,372.43,2
945,0,76,5,443.17,2
946,0,36,8,1259.1,4
947,0,38,4,20.264,2
948,0,24,7,521.16,4
949,1,67,2,367.02,1
950,0,44,5,486.19,2
951,0,46,7,2183.3,4
952,0,34,3,440.21,2
953,0,61,2,314.29,2
954,1,27,5,345.48,1
955,1,53,3,516.98,1
956,1,37,7,1553.7,4
957,1,34,5,667.93,4
958,1,60,5,753.75,1
959,0,58,5,901.87,4
960,1,35,6,216.68,4
961,0,48,7,375.65,2
962,0,53,3,418.19,4
963,0,69,7,363.88,2
964,1,26,7,1919.8,4
965,0,73,5,158.27,2
966,1,37,6,508.38,1
967,1,41,5,1607.0,1
968,1,29,8,971.9,3
969,0,43,8,447.63,2
970,0,61,8,131.74,2
971,1,29,2,1434.2,1
972,0,34,5,110.89,2
973,1,27,1,906.74,1
974,0,42,6,204.25,2
